2025-11-23 10:33:50,488 | INFO | Logging to: logs\cgfm_no_gate\train_20251123_103350.log
2025-11-23 10:33:50,488 | INFO | Using device: cuda
2025-11-23 10:33:50,488 | INFO | Arguments: {'train_csv': 'data\\train_val_test_dir\\train.csv', 'val_csv': 'data\\train_val_test_dir\\val.csv', 'all_csv': 'data\\train_val_test_dir\\all_ratings.csv', 'text_features': 'feature_output\\movie_text_features_20251103_1457.npz', 'img_features': 'feature_output\\movie_img_features_20251103_1457.npz', 'batch_size': 64, 'epochs': 30, 'lr': 0.0005, 'user_emb_dim': 64, 'proj_hidden_dim': 512, 'proj_dim': 512, 'vector_gate': False, 'lambda_contrast': 0.1, 'topk': [5, 10, 20], 'sample_neg': 100, 'topk_max_users': 0, 'no_scheduler': False, 'log_name': 'cgfm_no_gate', 'device': None, 'no_gate': True, 'no_sim': False, 'no_interaction': False}
2025-11-23 10:35:27,811 | INFO | Epoch 01 | Loss: 1.4123 (Rec: 1.3644, Con: 0.4784) | Val AUC: 0.7367 | Gate: N/A | Precision@5: 0.2620 | Recall@5: 0.1860 | NDCG@5: 0.3030 | Hit@5: 0.6054 | Precision@10: 0.2280 | Recall@10: 0.3051 | NDCG@10: 0.3236 | Hit@10: 0.7219 | Precision@20: 0.1849 | Recall@20: 0.4645 | NDCG@20: 0.3675 | Hit@20: 0.8249 | MAP: 0.2824 | MRR: 0.4530
2025-11-23 10:35:27,828 | INFO | Saved best model to model\best_model_cgfm_no_gate.pth
2025-11-23 10:37:02,587 | INFO | Epoch 02 | Loss: 0.5639 (Rec: 0.5570, Con: 0.0691) | Val AUC: 0.7865 | Gate: N/A | Precision@5: 0.2391 | Recall@5: 0.1682 | NDCG@5: 0.2701 | Hit@5: 0.5647 | Precision@10: 0.2156 | Recall@10: 0.2856 | NDCG@10: 0.2960 | Hit@10: 0.6899 | Precision@20: 0.1836 | Recall@20: 0.4585 | NDCG@20: 0.3483 | Hit@20: 0.8101 | MAP: 0.2725 | MRR: 0.4068
2025-11-23 10:37:02,602 | INFO | Saved best model to model\best_model_cgfm_no_gate.pth
2025-11-23 10:38:38,283 | INFO | Epoch 03 | Loss: 0.5166 (Rec: 0.5105, Con: 0.0604) | Val AUC: 0.7947 | Gate: N/A | Precision@5: 0.2701 | Recall@5: 0.1949 | NDCG@5: 0.3066 | Hit@5: 0.6194 | Precision@10: 0.2408 | Recall@10: 0.3264 | NDCG@10: 0.3355 | Hit@10: 0.7492 | Precision@20: 0.2022 | Recall@20: 0.5109 | NDCG@20: 0.3916 | Hit@20: 0.8551 | MAP: 0.3026 | MRR: 0.4497
2025-11-23 10:38:38,298 | INFO | Saved best model to model\best_model_cgfm_no_gate.pth
2025-11-23 10:40:31,191 | INFO | Epoch 04 | Loss: 0.4792 (Rec: 0.4732, Con: 0.0592) | Val AUC: 0.7945 | Gate: N/A | Precision@5: 0.2919 | Recall@5: 0.2127 | NDCG@5: 0.3355 | Hit@5: 0.6570 | Precision@10: 0.2570 | Recall@10: 0.3509 | NDCG@10: 0.3632 | Hit@10: 0.7835 | Precision@20: 0.2103 | Recall@20: 0.5318 | NDCG@20: 0.4162 | Hit@20: 0.8690 | MAP: 0.3204 | MRR: 0.4864
2025-11-23 10:42:23,171 | INFO | Epoch 05 | Loss: 0.4408 (Rec: 0.4350, Con: 0.0588) | Val AUC: 0.7882 | Gate: N/A | Precision@5: 0.2946 | Recall@5: 0.2145 | NDCG@5: 0.3388 | Hit@5: 0.6691 | Precision@10: 0.2586 | Recall@10: 0.3554 | NDCG@10: 0.3672 | Hit@10: 0.7906 | Precision@20: 0.2112 | Recall@20: 0.5391 | NDCG@20: 0.4206 | Hit@20: 0.8839 | MAP: 0.3213 | MRR: 0.4925
###2025-11-23 10:44:15,801 | INFO | Epoch 06 | Loss: 0.4039 (Rec: 0.3981, Con: 0.0578) | Val AUC: 0.7796 | Gate: N/A | Precision@5: 0.3051 | Recall@5: 0.2241 | NDCG@5: 0.3533 | Hit@5: 0.6900 | Precision@10: 0.2629 | Recall@10: 0.3640 | NDCG@10: 0.3785 | Hit@10: 0.8062 | Precision@20: 0.2119 | Recall@20: 0.5402 | NDCG@20: 0.4284 | Hit@20: 0.8880 | MAP: 0.3267 | MRR: 0.5124
###2025-11-23 10:46:09,125 | INFO | Epoch 07 | Loss: 0.3389 (Rec: 0.3336, Con: 0.0530) | Val AUC: 0.7756 | Gate: N/A | Precision@5: 0.3058 | Recall@5: 0.2293 | NDCG@5: 0.3558 | Hit@5: 0.7009 | Precision@10: 0.2622 | Recall@10: 0.3659 | NDCG@10: 0.3802 | Hit@10: 0.8145 | Precision@20: 0.2116 | Recall@20: 0.5405 | NDCG@20: 0.4303 | Hit@20: 0.8943 | MAP: 0.3278 | MRR: 0.5141
2025-11-23 10:48:02,680 | INFO | Epoch 08 | Loss: 0.3142 (Rec: 0.3089, Con: 0.0531) | Val AUC: 0.7700 | Gate: N/A | Precision@5: 0.3076 | Recall@5: 0.2291 | NDCG@5: 0.3582 | Hit@5: 0.7025 | Precision@10: 0.2644 | Recall@10: 0.3661 | NDCG@10: 0.3824 | Hit@10: 0.8172 | Precision@20: 0.2113 | Recall@20: 0.5385 | NDCG@20: 0.4306 | Hit@20: 0.8951 | MAP: 0.3269 | MRR: 0.5201
2025-11-23 10:49:55,672 | INFO | Epoch 09 | Loss: 0.2950 (Rec: 0.2898, Con: 0.0527) | Val AUC: 0.7632 | Gate: N/A | Precision@5: 0.3066 | Recall@5: 0.2270 | NDCG@5: 0.3579 | Hit@5: 0.7065 | Precision@10: 0.2631 | Recall@10: 0.3649 | NDCG@10: 0.3819 | Hit@10: 0.8183 | Precision@20: 0.2105 | Recall@20: 0.5376 | NDCG@20: 0.4298 | Hit@20: 0.8989 | MAP: 0.3242 | MRR: 0.5250
2025-11-23 10:51:48,932 | INFO | Epoch 10 | Loss: 0.2574 (Rec: 0.2523, Con: 0.0506) | Val AUC: 0.7613 | Gate: N/A | Precision@5: 0.3105 | Recall@5: 0.2307 | NDCG@5: 0.3601 | Hit@5: 0.7144 | Precision@10: 0.2648 | Recall@10: 0.3657 | NDCG@10: 0.3824 | Hit@10: 0.8233 | Precision@20: 0.2117 | Recall@20: 0.5395 | NDCG@20: 0.4306 | Hit@20: 0.9013 | MAP: 0.3245 | MRR: 0.5236
2025-11-23 10:53:41,740 | INFO | Epoch 11 | Loss: 0.2474 (Rec: 0.2424, Con: 0.0501) | Val AUC: 0.7596 | Gate: N/A | Precision@5: 0.3084 | Recall@5: 0.2288 | NDCG@5: 0.3596 | Hit@5: 0.7144 | Precision@10: 0.2641 | Recall@10: 0.3661 | NDCG@10: 0.3829 | Hit@10: 0.8224 | Precision@20: 0.2109 | Recall@20: 0.5373 | NDCG@20: 0.4303 | Hit@20: 0.8998 | MAP: 0.3241 | MRR: 0.5254
2025-11-23 10:55:34,720 | INFO | Epoch 12 | Loss: 0.2389 (Rec: 0.2339, Con: 0.0504) | Val AUC: 0.7577 | Gate: N/A | Precision@5: 0.3092 | Recall@5: 0.2294 | NDCG@5: 0.3597 | Hit@5: 0.7148 | Precision@10: 0.2640 | Recall@10: 0.3645 | NDCG@10: 0.3824 | Hit@10: 0.8235 | Precision@20: 0.2094 | Recall@20: 0.5333 | NDCG@20: 0.4281 | Hit@20: 0.8986 | MAP: 0.3220 | MRR: 0.5248
2025-11-23 10:57:26,362 | INFO | Epoch 13 | Loss: 0.2190 (Rec: 0.2140, Con: 0.0493) | Val AUC: 0.7570 | Gate: N/A | Precision@5: 0.3073 | Recall@5: 0.2270 | NDCG@5: 0.3576 | Hit@5: 0.7094 | Precision@10: 0.2616 | Recall@10: 0.3607 | NDCG@10: 0.3794 | Hit@10: 0.8174 | Precision@20: 0.2080 | Recall@20: 0.5310 | NDCG@20: 0.4258 | Hit@20: 0.8982 | MAP: 0.3212 | MRR: 0.5210
